TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,LKI-LCR,PCE-EPK,A.I.LL.,UCD,ESEI,PSOE(H),ORT,UFV,EMK-OIC,IRE,C.I.,PTE,IND. ALEGRIA-DUL. 79,IND. AMURRIO 79,IND. ARAMAIO 79,IND. ARTZINIEGA 79,IND. 1 ASPARRENA 79,IND. 2 ASPARRENA 79,IND. AIARA 79,IND. KUARTANGO 79,IND. ELCIEGO 79,IND. ELVILLAR 79,IND. 1 IRUÑA OKA 79,IND. 2 IRUÑA OKA 79,IND. LABASTIDA 79,IND. LAGUARDA 79,IND. LAUDIO 79,IND. MOREDA 79,IND. OKONDO 79,IND. 1 OION 79,IND. 2 OION 79,IND. RIBERA BAJA 79,IND. AÑANA 79,IND. 1 AGURAIN 79,IND. 2 AGURAIN 79,IND. VALDEGOVIA 79,IND. HARANA 79,IND. 1 VITORIA-G. 79,IND. 2 VITORIA-G. 79,IND. 1 ZALDUONDO 79,IND. 2 ZALDUONDO 79,IND. ZUIA 79,IND. ABADIÑO 79,IND. ABANTO-ZIER. 79,IND. AMOROTO 79,IND. ARAKALDO 79,IND. ARANTZAZU 79,IND. MUNITIBAR 79,IND. ARCENTALES 79,IND. AREATZA 79,IND. ARRIETA 79,IND. ARRIGORRIAGA 79,IND. ATXONDO 79,IND. AULESTI 79,IND. BALMASEDA 79,IND. BARAKALDO 79,IND. BEDIA 79,IND. BERANGO 79,IND. MUNGIA 79,IND. BERRIZ 79,IND. KARRANTZA 79,IND. ZEANURI 79,IND. EA 79,IND. ETXEBARRIA 79,IND. ELORRIO 79,IND. 1 EREÑO 79,IND. ERMUA 79,IND. GALDAKAO 79,IND. GALDAMES 79,IND. GAMIZ-FIKA 79,IND. GARAI 79,IND. GATIKA 79,IND. GAUT.ARTEAGA 79,IND. GERNIKA -LUM 79,IND. GORDEXOLA 79,IND. GIZABURUAGA 79,IND. ISPASTER 79,IND. IZURTZA 79,IND. LANESTOSA 79,IND. LARRABETZU 79,IND. LAUKIZ 79,IND. LEIOA 79,IND. LEKEITIO 79,IND. LEMOA 79,IND .LEMOIZ 79,IND. LEZAMA 79,IND. MALLABIA 79,IND. MAÑARIA 79,IND. MARKINA 79,IND. MENDEXA 79,IND. UGAO-MIRAV. 79,IND. MUSKIZ 79,IND. ORDUÑA 79,IND. OROZKO 79,IND. ORTUELLA 79,IND. OTXANDIO 79,IND. ERRIGOITI 79,IND. SOPELANA 79,IND. SOPUERTA 79,IND. TURTZIOZ 79,IND. UBIDE 79,IND. 1 ZALDIBAR.79,IND. 1 ZARATAMO 79,IND. 2 ZARATAMO 79,IND. ZEBERIO 79,IND. ABALTZISKETA 79,IND. ADUNA 79,IND. AIZARNAZABAL 79,IND. ALBIZTUR 79,IND. ALEGIA 79,IND. ALKIZA 79,IND. ALTZO 79,IND. AMEZKETA 79,IND. ANOETA 79,IND. ANTZUOLA 79,IND. ARAMA 79,IND. ARRASATE 79,IND. ASTEASU 79,IND. AZKOITIA 79,IND. BEIZAMA 79,IND. 1 BELAUNTZA 79,IND. 2 BELAUNTZA 79,IND. 1 BERASTEGI 79,IND. 2 BERASTEGI 79,IND. 1 BERROBI 79,IND. 2 BERROBI 79,IND. BIDEGOIAN  79,IND. ARRANKUDIAGA 79,IND. ELDUAIN 79,IND. 1 ELGETA 79,IND. 2 ELGETA 79,IND. 1 ELGOIBAR 79,IND. 2 ELGOIBAR 79,IND. ESKORIATZA 79,IND. EZKIO-ITSASO 79,IND. GABIRIA 79,IND. GAINTZA 79,IND. GETARIA 79,IND. HERNANI 79,IND. 1 HERNIALADE 79,IND. 2 HERNIAALDE 79,IND. HONDARRIBIA 79,IND. IDIAZABAL 79,IND. IRUN 79,IND. 1 ITSASONDO 79,IND. 2 ITSASONDO 79,IND. LARRAUL 79,IND. LAZKAO 79,IND. 1 LEABURU-G. 79,IND. 2 LEABURU-G. 79,IND. LEGORRETA 79,IND. LEZO 79,IND. LIZARTZA 79,IND. MUTILOA 79,IND. MUTRIKU 79,IND. OLABERRIA 79,IND. OÑATI 79,IND. OREXA 79,IND. OIARTZUN 79,IND. SORALUZE 79,IND. ERREZIL 79,IND. SEGURA 79,IND. URRETXU 79,IND. USURBIL 79,IND. VILLABONA 79,IND. ZALDIBIA 79,IND. ZARAUTZ 79,IND. ZEGAMA 79,IND. ZERAIN 79,IND. ZESTOA 79,IND. 2 EREÑO 79,IND. 2 ZALDIBAR 79
Gipuzkoa,URNIETA,,72,1,7977,4371,95,4237,39,4237,3606,1187,1527,835,331,,,218,,,,,62,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,4735,3740,37,3680,23,3680,995,1084,393,190,,,,300,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,3991,2698,56,2603,39,2603,1293,976,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,950,636,5,623,8,623,314,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9696,6321,126,6158,37,6158,3375,1910,1948,,1404,,,836,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,3314,2287,41,2230,16,2230,1027,852,221,,,,,,,,,,307,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,264,249,,248,1,248,15,129,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,123348,79430,549,78613,268,78613,43918,25357,14551,,3754,,429,3042,,20374,,,1020,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,231,116,,114,2,114,115,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2162,1312,12,1287,13,1287,850,653,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
Gipuzkoa,ZALDIBIA,,78,3,1377,539,4,514,21,514,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,,,,,,
Álava,ZALDUONDO,,61,2,121,108,1,107,,113,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,4686,3318,28,3280,10,3280,1368,1863,259,774,,,,150,,217,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,282,191,11,158,22,158,91,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1300,998,8,989,1,989,302,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,11732,7186,148,6751,287,6751,4546,3468,612,880,970,,153,293,,,,,83,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,
Bizkaia,ZEANURI,,24,3,1160,932,4,922,6,922,228,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,1048,751,5,746,,746,297,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1246,919,9,910,,910,327,280,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,,,
Gipuzkoa,ZERAIN,,26,3,234,139,,139,,139,95,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,
Gipuzkoa,ZESTOA,,27,4,2898,2086,11,2063,12,2063,812,748,43,639,,,66,113,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
Álava,ZIGOITIA,,18,2,551,353,8,342,3,342,198,235,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,1853,1350,16,1328,6,1328,503,531,,505,,,,,,,,,212,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1052,870,6,864,,864,182,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,5165,3655,90,3515,50,3515,1510,1670,540,743,246,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8452,5843,109,5682,52,5682,2609,2046,1492,749,477,,,844,,,,,25,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
